Values_code,Date,Temperatura
ANTIOQUIA,2021-01-01,20.266666666666666
ANTIOQUIA,2021-01-02,20.400000000000002
ANTIOQUIA,2021-01-03,19.8
ANTIOQUIA,2021-01-04,19.466666666666665
ANTIOQUIA,2021-01-05,19.533333333333335
ANTIOQUIA,2021-01-06,17.866666666666664
ANTIOQUIA,2021-01-07,19.133333333333333
ANTIOQUIA,2021-01-08,17.46666666666667
ANTIOQUIA,2021-01-09,18.8
ANTIOQUIA,2021-01-10,19.933333333333334
ANTIOQUIA,2021-01-11,19.400000000000002
ANTIOQUIA,2021-01-12,20.066666666666666
ANTIOQUIA,2021-01-13,20.599999999999998
ANTIOQUIA,2021-01-14,20.266666666666666
ANTIOQUIA,2021-01-16,20.0
ANTIOQUIA,2021-01-17,19.666666666666668
ANTIOQUIA,2021-01-18,20.133333333333336
ANTIOQUIA,2021-01-19,20.133333333333333
ANTIOQUIA,2021-01-20,19.933333333333334
ANTIOQUIA,2021-01-21,20.866666666666667
ANTIOQUIA,2021-01-22,21.266666666666666
ANTIOQUIA,2021-01-23,19.866666666666664
ANTIOQUIA,2021-01-24,20.733333333333334
ANTIOQUIA,2021-01-25,20.733333333333334
ANTIOQUIA,2021-01-26,19.733333333333334
ANTIOQUIA,2021-01-27,20.2
ANTIOQUIA,2021-01-28,20.733333333333334
ANTIOQUIA,2021-01-29,20.533333333333335
ANTIOQUIA,2021-01-30,21.8
ANTIOQUIA,2021-01-31,21.599999999999998
ANTIOQUIA,2021-02-01,21.599999999999998
ANTIOQUIA,2021-02-02,22.46666666666667
ANTIOQUIA,2021-02-03,21.333333333333332
ANTIOQUIA,2021-02-04,22.933333333333334
ANTIOQUIA,2021-02-05,20.2
ANTIOQUIA,2021-02-06,20.8
ANTIOQUIA,2021-02-07,21.599999999999998
ANTIOQUIA,2021-02-08,21.933333333333334
ANTIOQUIA,2021-02-09,20.8
ANTIOQUIA,2021-02-10,20.599999999999998
ANTIOQUIA,2021-02-11,21.933333333333334
ANTIOQUIA,2021-02-12,19.933333333333334
ANTIOQUIA,2021-02-13,19.266666666666666
ANTIOQUIA,2021-02-14,19.8
ANTIOQUIA,2021-02-15,20.066666666666666
ANTIOQUIA,2021-02-16,21.333333333333332
